alpha_deg,lambda0,lambda0_residual,lambda,lambda_residual,lambda1,lambda1_residual,lambda2,lambda2_residual,lambda1_symmetry,lambda1_symmetry_residual,lambda1_D1_printed,lambda1_D1_printed_residual,lambda1_symmetry_error
21.0,-0.11728019728776572,1.6812662373411058e-12,-0.7939687669611243,7.955991421226827e-11,-0.45814198012621543,2.7352342613085057e-11,-0.49776838347606706,3.071678328359084e-11,-0.45814198012621543,5.470579544919474e-11,,,0.0
22.0,-0.11828043232463815,9.374906406733885e-11,-0.7870724913403067,5.001049574460126e-11,-0.4560293779703434,2.3031687668151335e-11,-0.49740263224074444,3.9416640090772503e-11,-0.4560293779703434,4.606381942551252e-11,,,0.0
23.0,-0.118991511693313,8.107875482110671e-12,-0.7801596166845579,7.984590766341171e-11,-0.45388680063921344,2.933175924368925e-11,-0.4969942124014244,8.166082393623597e-11,-0.45388680063921344,5.866396257658835e-11,,,0.0
24.0,-0.11942962663759181,1.867497823049291e-11,-0.7732233720494179,3.070882437228306e-11,-0.4517117913486264,6.005440589262889e-11,-0.4965396671271979,4.09894757025242e-11,-0.45171179135458683,7.621459019446775e-11,,,5.960454352305078e-12
25.0,-0.11961035742983744,7.794298539920419e-11,-0.7662574826633222,1.5800916131070153e-11,-0.4495018780555939,6.873168700849419e-11,-0.4960353248435452,9.608114651116217e-11,-0.4495018780496334,6.663336549195265e-11,,,5.960509863456309e-12
26.0,-0.11954870391239372,8.412709417982e-11,-0.7592560894374902,2.8984870059645118e-11,-0.4472545689760702,6.662925766676153e-11,-0.4954772882889254,8.560640044064094e-11,-0.44725456897010973,7.846767680064204e-11,,,5.960454352305078e-12
27.0,-0.11925912030669705,1.1791401188787631e-11,-0.7522136818034131,1.1187273329937852e-11,-0.44496734819804995,8.654876815228363e-11,-0.4948614235713613,1.668357466066972e-11,-0.4449673481920895,4.6102011097559625e-11,,,5.960454352305078e-12
28.0,-0.11875555183436949,3.334738041260721e-11,-0.7451250412791779,9.62707691343212e-11,-0.4426376711039308,2.717459590684257e-11,-0.4941833499879684,1.5451157714396757e-11,-0.4426376711039308,5.4350746125919613e-11,,,0.0
29.0,-0.11805147126678604,7.25969839798779e-11,-0.737985193642701,7.188527550994195e-12,-0.44026295978095686,8.541778395709798e-11,-0.49343842977295516,9.253579152934677e-11,-0.4402629597749964,6.281464237645196e-11,,,5.960454352305078e-12
30.0,-0.11715991427062873,1.0494938251781605e-12,-0.7307893681383093,9.260769928687296e-11,-0.4378405982588074,6.64945876138745e-12,-0.49262175856087964,1.3639214757610318e-11,-0.4378405982588074,1.3299583656589675e-11,,,0.0
