alpha_deg,case_id,material_index,sigma_prime,factor_truncation,d_over_l,delta_prime,J_prime,lambda0,lambda,g2,Q_prefactor,base_terminal_log_deviation,process_terminal_log_deviation
121,C_positive_material1,1,0.5,60,0.023840711825739,0.0212838772161529,0.00507918667943897,-0.123043151721334,-0.438593736031538,-0.289323176559943,0.253491694348965,4.44089209850063e-16,0
122,C_positive_material1,1,0.5,60,0.0265561379224749,0.024348269288166,0.00578047247587231,-0.123434279764832,-0.44743826761255,-0.319703154439562,0.254537583071714,4.44089209850063e-16,0
123,C_positive_material1,1,0.5,60,0.0292667438221606,0.0275120197757001,0.00650046546849686,-0.123615532233246,-0.456079209164237,-0.35099332444852,0.2550629945367,4.44089209850063e-16,0
124,C_positive_material1,1,0.5,60,0.0319378221670795,0.0307325069875822,0.00722971051040696,-0.123591540588659,-0.464524884856184,-0.383083506006128,0.255068949626635,4.44089209850063e-16,0
125,C_positive_material1,1,0.5,60,0.0345359080565883,0.0339650763678615,0.00795847110597555,-0.123367365002695,-0.472783424557243,-0.415853830470674,0.254558308050591,4.44089209850063e-16,0
126,C_positive_material1,1,0.5,60,0.0370294060241836,0.0371642138945107,0.00867696902116109,-0.122948501948065,-0.480862780494542,-0.449174935458886,0.253535895096831,4.44089209850063e-16,0
127,C_positive_material1,1,0.5,60,0.0393891261911876,0.0402847006271117,0.00937561303866896,-0.122340888673543,-0.488770743227496,-0.482908301834056,0.252008614153269,4.44089209850063e-16,0
128,C_positive_material1,1,0.5,60,0.0415887285555912,0.0432827145534325,0.0100452115151328,-0.121550903683135,-0.496514957062364,-0.516906748278621,0.249985540448642,4.44089209850063e-16,0
129,C_positive_material1,1,0.5,60,0.0436050756360815,0.0461168494712734,0.0106771641994549,-0.120585362345828,-0.504102935027242,-0.551015095242512,0.247477991351945,4.44089209850063e-16,0
130,C_positive_material1,1,0.5,60,0.0454184946664115,0.0487490247266897,0.0112636295670899,-0.119451506800929,-0.511542073523602,-0.585071005880101,0.244499568645107,4.44089209850063e-16,0
131,C_positive_material1,1,0.5,60,0.0470129513965971,0.0511452641907892,0.0117976647303535,-0.118156989402367,-0.518839666768364,-0.618906006371577,0.241066168502893,4.44089209850063e-16,0
132,C_positive_material1,1,0.5,60,0.0483761384168835,0.0532763278387005,0.0122733358090472,-0.116709849068716,-0.526002921140176,-0.652346681865977,0.237195955477203,4.44089209850063e-16,0
133,C_positive_material1,1,0.5,60,0.0494994818591385,0.0551181846244375,0.0126857974953238,-0.115118480077384,-0.533038969544984,-0.685216037373958,0.232909297626213,4.44089209850063e-16,0
134,C_positive_material1,1,0.5,60,0.050378071375481,0.056652320904732,0.0130313414175023,-0.113391593061341,-0.539954885919219,-0.717335005570483,0.228228661035642,4.44089209850063e-16,0
135,C_positive_material1,1,0.5,60,0.0510105194354941,0.0578658842976085,0.0133074137865421,-0.111538168231125,-0.546757699994074,-0.748524076027121,0.223178463320133,4.44089209850063e-16,0
136,C_positive_material1,1,0.5,60,0.0513987571855346,0.0587516683870138,0.0135126036764276,-0.109567401145217,-0.553454412451719,-0.778605013345764,0.217784887233301,4.44089209850063e-16,0
137,C_positive_material1,1,0.5,60,0.0515477752955709,0.0593079488778443,0.0136466041138629,-0.107488641675,-0.560052010613926,-0.807402625521656,0.2120756571519,4.44089209850063e-16,0
138,C_positive_material1,1,0.5,60,0.0514653193050353,0.0595381864564417,0.0137101489022367,-0.105311327138948,-0.566557484815989,-0.83474653913905,0.2060797828677,4.44089209850063e-16,0
139,C_positive_material1,1,0.5,60,0.0511615498646474,0.0594506154941484,0.0137049287411073,-0.103044910893488,-0.572977845634271,-0.860472935163026,0.199827276685911,4.44089209850063e-16,0
140,C_positive_material1,1,0.5,60,0.0506486788680121,0.0590577406620238,0.0136334906920117,-0.100698787942404,-0.579320142154827,-0.884426198496653,0.19334885118471,4.44089209850063e-16,0
141,C_positive_material1,1,0.5,60,0.0499405927015666,0.0583757653668356,0.0134991253566248,-0.0982822193405729,-0.585591481493946,-0.906460436327543,0.186675606031879,4.44089209850063e-16,0
142,C_positive_material1,1,0.5,60,0.0490524736576517,0.0574239765901777,0.013305746254088,-0.0958042573016036,-0.591799049809946,-0.926440824601671,0.179838712876143,4.44089209850063e-16,0
