alpha_deg,case_id,material_index,sigma_prime,factor_truncation,d_over_l,delta_prime,J_prime,lambda0,lambda,g2,Q_prefactor,base_terminal_log_deviation,process_terminal_log_deviation
107,C_negative_material2,2,-0.5,60,0.0673830926033793,0.027149528597307,0.00785560076387479,-0.0938680663977943,-0.288096053761743,0.000943656877208321,-0.722462268734731,4.44089209850063e-16,0
108,C_positive_material1,1,0.5,60,0.00104584995730713,0.000544101275712259,0.000144001083126765,-0.0974675836342782,-0.300823519484943,-0.0102666330765844,0.194547061135815,4.44089209850063e-16,0
109,C_positive_material1,1,0.5,60,0.00161105883741126,0.000888013954526635,0.00023262177412643,-0.10083218544227,-0.313198084551774,-0.0229937314606293,0.201869105935708,4.44089209850063e-16,0
110,C_positive_material1,1,0.5,60,0.00236067741814223,0.00137392325524413,0.000356365499581496,-0.10396130197855,-0.325233339575167,-0.0372445303632159,0.208761985206554,4.44089209850063e-16,0
111,C_positive_material1,1,0.5,60,0.0033149029965272,0.00203070181400444,0.000521726480300602,-0.106854751022017,-0.33694226993796,-0.053019121729512,0.215215053115829,4.44089209850063e-16,0
112,C_positive_material1,1,0.5,60,0.00448767253650806,0.00288519229449532,0.000734511576538241,-0.109512720641119,-0.348337304992674,-0.0703106500811653,0.221217870865113,4.44089209850063e-16,0
113,C_positive_material1,1,0.5,60,0.00588594035117405,0.00396059277457226,0.000999487293614463,-0.111935756755925,-0.35943036247139,-0.089105120031488,0.22676029960276,4.44089209850063e-16,0
114,C_positive_material1,1,0.5,60,0.00750944191606133,0.00527506924797084,0.00132009955131281,-0.114124755172486,-0.370232888716056,-0.109381163900826,0.231832598421383,4.44089209850063e-16,0
115,C_positive_material1,1,0.5,60,0.009350865586657,0.00684066040643868,0.00169827540481266,-0.116080957676801,-0.380755895252436,-0.131109775944298,0.236425528470368,4.44089209850063e-16,0
116,C_positive_material1,1,0.5,60,0.0113963417153291,0.00866250791990057,0.00213430792208902,-0.117805951777169,-0.391009992158679,-0.154254021018293,0.240530463899003,4.44089209850063e-16,0
117,C_positive_material1,1,0.5,60,0.0136261603290654,0.010738420030684,0.00262681978972364,-0.119301673676112,-0.401005418619267,-0.178768726926409,0.244139509985483,4.44089209850063e-16,0
118,C_positive_material1,1,0.5,60,0.0160156380707341,0.0130587573339921,0.00317279763259876,-0.12057041403602,-0.41075207100479,-0.204600171181906,0.247245628440483,4.44089209850063e-16,0
119,C_positive_material1,1,0.5,60,0.0185360681109856,0.0156066162752243,0.00376768705275281,-0.121614826075959,-0.420259528775825,-0.231685774470085,0.249842769451984,4.44089209850063e-16,0
120,C_positive_material1,1,0.5,60,0.0211557003527629,0.0183582770550016,0.004405537577931,-0.122437935501062,-0.429537078473748,-0.259953814642482,0.251926009609,4.44089209850063e-16,0
