case_id,alpha_deg,material_index,sigma_prime,d_over_l,delta_prime,J_prime
alpha105_material2,105,2,-0.41,0.0173407569788752,0.00613636742685906,0.00413238650798564
alpha105_material2,105,2,-0.4075,0.0169399175285008,0.005994522514917,0.0040368645224914
alpha105_material2,105,2,-0.405,0.016545962202199,0.00585511368548118,0.00394298305715849
alpha105_material2,105,2,-0.4025,0.0161588141718184,0.00571811375140134,0.00385072380346575
alpha105_material2,105,2,-0.4,0.0157783969988706,0.00558349566341714,0.0037600685457506
alpha105_material2,105,2,-0.3975,0.0154046346349555,0.00545123251030864,0.00367099916131041
alpha105_material2,105,2,-0.395,0.0150374514221903,0.00532129751904805,0.00358349762050464
alpha105_material2,105,2,-0.3925,0.0146767720936408,0.00519366405495253,0.0034975459868578
alpha105_material2,105,2,-0.39,0.0143225217737569,0.00506830562183811,0.00341312641716306
alpha105_material2,105,2,-0.3875,0.0139746259788107,0.00494519586217479,0.00333022116158673
alpha105_material2,105,2,-0.385,0.0136330106173379,0.00482430855724284,0.00324881256377347
alpha105_material2,105,2,-0.3825,0.0132976019905831,0.00470561762729019,0.00316888306095235
alpha105_material2,105,2,-0.38,0.0129683267929478,0.00458909713169109,0.00309041518404361
alpha105_material2,105,2,-0.3775,0.0126451121124422,0.00447472126910599,0.00301339155776643
alpha105_material2,105,2,-0.375,0.0123278854311404,0.00436246437764259,0.00293779490074728
alpha105_material2,105,2,-0.3725,0.0120165746256394,0.00425230093501823,0.00286360802562934
alpha105_material2,105,2,-0.37,0.0117111079675213,0.00414420555872347,0.00279081383918266
alpha105_material2,105,2,-0.3675,0.0114114141238191,0.004038153006187,0.00271939534241519
alpha105_material2,105,2,-0.365,0.0111174221574868,0.00393411817494187,0.00264933563068473
alpha105_material2,105,2,-0.3625,0.0108290615278723,0.00383207610279299,0.00258061789381173
alpha105_material2,105,2,-0.36,0.0105462620911953,0.00373200196798603,0.00251322541619305
alpha105_material2,105,2,-0.3575,0.0102689541010279,0.00363387108937766,0.00244714157691657
alpha105_material2,105,2,-0.355,0.00999706820877973,0.00353765892660721,0.00238234984987681
