alpha_deg,lambda0,lambda,lambda1,lambda2,lambda1_D1_printed,lambda0_residual,lambda_residual,lambda1_residual,lambda2_residual
33,-0.113484852501947,-0.70882065978878,-0.430260779795501,-0.489688016442304,NaN,2.77555756156289e-16,0,8.88178419700125e-16,4.78783679369599e-16
34,-0.111966083735806,-0.701356142186557,-0.427620724748474,-0.488529673769476,NaN,2.22044604925031e-16,5.55111512312578e-16,2.22044604925031e-16,1.59594559789866e-16
35,-0.110319486556143,-0.693813757180223,-0.424919194506558,-0.487270780797969,NaN,9.99200722162641e-16,4.44089209850063e-16,0,0
36,-0.10855603296891,-0.686189351300311,-0.422153237711543,-0.485904681527702,NaN,9.99200722162641e-16,1.11022302462516e-16,1.33226762955019e-15,1.59594559789866e-16
37,-0.106686403406662,-0.67847880141223,-0.419319827473325,-0.484424414304651,NaN,3.88578058618805e-16,0,1.33226762955019e-15,9.43689570931383e-16
38,-0.104720988678583,-0.67067799923814,-0.416415855115407,-0.482822712342302,NaN,8.32667268468867e-16,5.55111512312578e-16,2.22044604925031e-15,9.85322934354826e-16
39,-0.102669887077728,-0.662782837159214,-0.413438123617189,-0.48109200631911,NaN,3.33066907387547e-16,1.11022302462516e-16,1.33226762955019e-15,3.7470027081099e-16
40,-0.100542896909431,-0.654789195090278,-0.410383340721369,-0.479224429216274,NaN,1.22124532708767e-15,2.22044604925031e-16,4.44089209850063e-16,5.55111512312578e-17
41,-0.0983495048352307,-0.646692928250734,-0.407248111671955,-0.477211823539891,NaN,1.49880108324396e-15,0,4.44089209850063e-16,6.24500451351651e-16
42,-0.0960988705572152,-0.638489855681534,-0.404028931545298,-0.47504575104429,NaN,2.77555756156289e-16,1.11022302462516e-15,2.66453525910038e-15,3.46944695195361e-16
43,-0.0937998084931238,-0.630175749379015,-0.400722177132907,-0.472717505038783,NaN,4.9960036108132e-16,2.22044604925031e-16,3.99680288865056e-15,8.18789480661053e-16
44,-0.0914607672064252,-0.621746323933427,-0.397324098330805,-0.470218125318077,NaN,4.9960036108132e-16,2.22044604925031e-16,3.10862446895044e-15,4.16333634234434e-16
45,-0.0890898074503422,-0.613197226573893,-0.39383080898548,-0.467538415707264,NaN,7.7715611723761e-16,7.7715611723761e-16,3.10862446895044e-15,9.71445146547012e-17
46,-0.0866945797528858,-0.60452402753271,-0.390238277141191,-0.464668964156258,NaN,1.38777878078145e-15,1.11022302462516e-16,1.77635683940025e-15,1.11022302462516e-16
47,-0.084282302504506,-0.595722210650925,-0.386542314627259,-0.461600165256524,NaN,2.22044604925031e-16,9.99200722162641e-16,3.10862446895044e-15,3.7470027081099e-16
48,-0.0818597415056654,-0.586787164154273,-0.382738565916938,-0.458322244986242,NaN,5.55111512312578e-17,1.33226762955019e-15,7.54951656745106e-15,7.49400541621981e-16
49,-0.0794331918855336,-0.577714171534145,-0.378822496181295,-0.454825287420292,NaN,5.55111512312578e-17,4.44089209850063e-16,4.44089209850063e-16,1.38777878078145e-16
50,-0.0770084632151072,-0.568498402472431,-0.374789378452134,-0.451099263070548,NaN,1.66533453693773e-16,9.99200722162641e-16,2.22044604925031e-15,6.10622663543836e-16
51,-0.0745908685115915,-0.559134903752118,-0.370634279796978,-0.447134058452269,NaN,1.60982338570648e-15,3.33066907387547e-16,1.77635683940025e-15,2.22044604925031e-16
52,-0.0721852176722398,-0.549618590097437,-0.366352046396354,-0.44291950640632,NaN,3.88578058618805e-16,7.7715611723761e-16,3.10862446895044e-15,2.4980018054066e-16
53,-0.0697958156940644,-0.539944234888268,-0.361937287398613,-0.438445416647052,NaN,4.44089209850063e-16,9.99200722162641e-16,1.77635683940025e-15,1.94289029309402e-16
54,-0.067426465841862,-0.530106460693568,-0.357384357409914,-0.433701605954568,NaN,7.21644966006352e-16,5.55111512312578e-16,8.88178419700125e-16,7.21644966006352e-16
55,-0.0650804777326284,-0.520099729567655,-0.3526873374562,-0.428677927390029,NaN,5.55111512312578e-16,4.44089209850063e-16,3.10862446895044e-15,5.55111512312578e-16
56,-0.0627606801211156,-0.509918333051485,-0.3478400142294,-0.423364297885578,NaN,1.11022302462516e-15,8.88178419700125e-16,3.99680288865056e-15,1.0547118733939e-15
57,-0.0604694380092211,-0.499556381818404,-0.342835857400834,-0.417750723547856,NaN,1.11022302462516e-16,6.66133814775094e-16,1.77635683940025e-15,2.77555756156289e-17
58,-0.0582086735689841,-0.48900779490032,-0.337667994749842,-0.411827322016744,NaN,4.9960036108132e-16,3.99680288865056e-15,3.10862446895044e-15,9.15933995315754e-16
59,-0.0559798902704281,-0.478266288425785,-0.332329184813791,-0.405584341238753,NaN,6.66133814775094e-16,8.32667268468867e-16,1.77635683940025e-15,5.82867087928207e-16
60,-0.053784199543536,-0.467325363795924,-0.326811786715114,-0.399012174046704,NaN,8.88178419700125e-16,1.88737914186277e-15,3.10862446895044e-15,2.4980018054066e-16
61,-0.0516223492777048,-0.45617829521756,-0.321107726759956,-0.392101367982066,NaN,1.0547118733939e-15,1.33226762955019e-15,2.66453525910038e-15,1.94289029309402e-15
62,-0.0494947534690553,-0.444818116504968,-0.315208461328651,-0.384842629850986,NaN,7.21644966006352e-16,1.66533453693773e-16,8.88178419700125e-16,2.4980018054066e-16
63,-0.0474015223611843,-0.433237607052432,-0.309104935487334,-0.377226824566077,NaN,2.77555756156289e-16,2.22044604925031e-16,6.66133814775094e-15,6.52256026967279e-16
64,-0.0453424924823205,-0.421429276868905,-0.302787536638157,-0.369244967889178,NaN,6.10622663543836e-16,1.16573417585641e-15,3.5527136788005e-15,8.60422844084496e-16
65,-0.043317256055005,-0.409385350553341,-0.296246042387218,-0.360888212750579,NaN,1.4432899320127e-15,2.27595720048157e-15,3.10862446895044e-15,5.41233724504764e-16
66,-0.0413251893370108,-0.397097750074424,-0.289469561637044,-0.352147828871999,NaN,3.60822483003176e-16,7.7715611723761e-16,1.55431223447522e-15,3.60822483003176e-16
67,-0.0393654795385475,-0.384558076201061,-0.282446467694609,-0.343015175457756,NaN,8.32667268468867e-16,1.80411241501588e-15,4.21884749357559e-15,2.35922392732846e-16
68,-0.0374371500460435,-0.371757588409669,-0.2751643219134,-0.333481666734172,NaN,9.43689570931383e-16,5.55111512312578e-17,4.44089209850063e-16,3.19189119579733e-16
69,-0.0355390837631323,-0.358687183070486,-0.267609786041616,-0.323538730103749,NaN,8.32667268468867e-17,3.33066907387547e-16,3.77475828372553e-15,2.91433543964104e-16
70,-0.0336700444522425,-0.34533736968704,-0.259768521004517,-0.313177756628963,NaN,9.71445146547012e-16,1.94289029309402e-16,2.44249065417534e-15,2.35922392732846e-16
71,-0.03182869602368,-0.331698244929829,-0.251625069274862,-0.302390043460085,NaN,1.66533453693773e-16,4.9960036108132e-16,0,8.74300631892311e-16
72,-0.0300136197724943,-0.317759464165979,-0.243162717236285,-0.291166727658479,NaN,1.27675647831893e-15,2.77555756156289e-17,9.76996261670138e-15,2.4980018054066e-16
73,-0.0282233296066537,-0.303510210139862,-0.234363332957388,-0.279498710623146,NaN,1.08246744900953e-15,3.7470027081099e-16,4.44089209850063e-16,8.32667268468867e-17
74,-0.0264562853435883,-0.28893915840373,-0.225207173479523,-0.267376571978746,NaN,6.66133814775094e-16,4.02455846426619e-16,4.21884749357559e-15,4.02455846426619e-16
75,-0.0247109041767638,-0.274034439030086,-0.215672653949637,-0.254790471291673,NaN,9.43689570931383e-16,4.71844785465692e-16,1.77635683940025e-15,2.98372437868011e-16
76,-0.0229855704307764,-0.258783594056145,-0.205736068512166,-0.241730035294065,NaN,2.4980018054066e-16,4.64905891561784e-16,1.88737914186277e-15,2.35922392732846e-16
77,-0.0212786437335475,-0.243173530011767,-0.195371249529834,-0.228184227334352,NaN,2.35922392732846e-16,8.74300631892311e-16,1.11022302462516e-16,8.18789480661053e-16
78,-0.0195884657388338,-0.227190464761212,-0.184549147007417,-0.214141194415939,NaN,4.16333634234434e-17,1.73472347597681e-16,1.11022302462516e-15,1.35308431126191e-16
79,-0.0179133655325031,-0.210819867740058,-0.173237303388994,-0.199588085244486,NaN,2.22044604925031e-16,1.34961486430996e-15,7.7715611723761e-16,3.92047505570758e-16
80,-0.0162516638529093,-0.194046392484078,-0.161399189154585,-0.184510829880837,NaN,1.80411241501588e-16,2.98372437868011e-16,1.60982338570648e-15,3.2612801348364e-16
81,-0.0146016762501364,-0.176853800116679,-0.148993350188263,-0.168893867408685,NaN,9.0205620750794e-17,6.01949046163952e-16,1.72084568816899e-15,5.20417042793042e-17
82,-0.0129617153016456,-0.159224872172416,-0.135972295964465,-0.152719801674956,NaN,2.22044604925031e-16,2.34187669256869e-16,5.55111512312578e-17,1.2490009027033e-16
83,-0.0113300919935904,-0.1411413107682,-0.122281023490617,-0.13596895528854,NaN,4.85722573273506e-17,2.09901540593194e-16,6.10622663543836e-16,2.10768902331182e-16
84,-0.0097051163683057,-0.122583623667258,-0.107855017347153,-0.118618776288369,NaN,1.94289029309402e-16,2.23779328401008e-16,6.66133814775094e-16,2.6628005356244e-16
85,-0.00808509752962436,-0.103530991180801,-0.0926174758824059,-0.100643025894754,NaN,2.94902990916057e-17,2.05564731903252e-16,2.27595720048157e-15,2.27248775352962e-16
86,-0.00646834308908413,-0.0839611110739484,-0.0764753586162904,-0.0820106313820506,NaN,1.43982048506075e-16,2.07082614944731e-17,4.85722573273506e-17,3.48354158019593e-16
87,-0.00485315812797578,-0.0638500166230691,-0.0593135718868257,-0.062684009238331,NaN,4.77048955893622e-17,7.43762690325056e-17,1.36696209906972e-15,2.23833538509632e-16
88,-0.0032378437427729,-0.0431718616236571,-0.0409860846160724,-0.0426165168046457,NaN,3.12250225675825e-17,3.34476370211778e-17,2.51534904016637e-16,3.16180458551085e-17
89,-0.00162069523488237,-0.0218986643459922,-0.0213017103219663,-0.0217484008567932,NaN,2.86229373536173e-17,2.33569335205373e-18,1.43982048506075e-16,7.25170317132824e-17
90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
91,-0.00691077346463103,-0.0218190039904516,-0.0217414481010162,-0.020168178315477,NaN,3.84349670146111e-17,6.01435744197916e-18,1.71659697090557e-16,1.0842021724855e-18
92,-0.0137059181185826,-0.0428630629369288,-0.0425688542635082,-0.0373281247171582,NaN,2.29850860566927e-17,5.04696111292002e-17,2.29986385838488e-17,1.16226472890446e-16
93,-0.0203685895030679,-0.0631758952564872,-0.0625445828315092,-0.0524472635577341,NaN,1.53956708492942e-16,5.74085050331075e-17,4.96185124237991e-16,1.6306400674182e-16
94,-0.0268838036507687,-0.0827970902011684,-0.0817214868507575,-0.0660509829912561,NaN,1.1666015375944e-16,1.00830802041152e-17,1.59117510833973e-15,3.40005801291454e-16
95,-0.0332382845737241,-0.101762698489505,-0.100145091766149,-0.0784647398708405,NaN,1.89084858881472e-16,1.65666091955785e-16,6.1409211049579e-16,5.20417042793042e-16
96,-0.0394203151053339,-0.120105714587333,-0.117855152593589,-0.0899080847223861,NaN,0,4.10695782937509e-16,1.8249290967276e-15,2.91433543964104e-16
97,-0.0454195941132642,-0.137856474505484,-0.134886794902249,-0.100538301286651,NaN,4.96130914129367e-16,2.63677968348475e-16,1.78416309504215e-15,6.93889390390723e-16
98,-0.0512271020851205,-0.155042986952219,-0.151271371028786,-0.110473224775132,NaN,2.67147415300428e-16,4.68375338513738e-17,4.37150315946155e-16,6.10622663543836e-16
99,-0.0568349763056363,-0.171691211346482,-0.167037116302285,-0.11980424750103,NaN,1.59594559789866e-16,8.84708972748172e-17,6.53990750443256e-16,8.32667268468867e-17
100,-0.0622363962553775,-0.187825293041428,-0.182209661516278,-0.128604234590099,NaN,1.87350135405495e-16,3.40005801291454e-16,2.33840724561674e-15,3.33066907387547e-16
101,-0.0674254794305272,-0.203467763777147,-0.196812439879356,-0.136932598105223,NaN,9.36750677027476e-17,5.16947595841089e-16,2.02962646689286e-15,5.55111512312578e-17
102,-0.0723971874785721,-0.218639713639895,-0.210867015009682,-0.144838689455935,NaN,2.39391839684799e-16,5.34294830600857e-16,5.82867087928207e-16,2.77555756156289e-16
103,-0.0771472423376368,-0.233360939489068,-0.224393348797133,-0.152364148052821,NaN,6.21031004399697e-16,1.38777878078145e-16,2.31065167000111e-15,7.7715611723761e-16
104,-0.0816720519343174,-0.247650073808183,-0.237410022708938,-0.159544576004273,NaN,3.08780778723872e-16,4.44089209850063e-16,2.69922972861991e-15,9.99200722162641e-16
105,-0.085968644917101,-0.261524697161322,-0.249934422488496,-0.166410762813295,NaN,6.93889390390723e-17,4.16333634234434e-17,2.65065747129256e-15,0
106,-0.0900346138645945,-0.275001436833666,-0.261982893647948,-0.172989600848376,NaN,4.33680868994202e-16,6.93889390390723e-17,8.67361737988404e-16,8.88178419700125e-16
107,-0.0938680663977943,-0.288096053761743,-0.273570873335226,-0.179304782952872,NaN,1.17267306976032e-15,1.48492329543615e-15,3.17801340798951e-15,7.7715611723761e-16
108,-0.0974675836342782,-0.300823519484943,-0.284713002838895,-0.185377343164232,NaN,6.55725473919233e-16,9.15933995315754e-16,7.7715611723761e-16,8.88178419700125e-16
109,-0.10083218544227,-0.313198084551774,-0.295423224028517,-0.191226082239744,NaN,3.81639164714898e-16,6.93889390390723e-16,1.08246744900953e-15,4.44089209850063e-16
110,-0.10396130197855,-0.325233339575167,-0.305714862312697,-0.196867907129284,NaN,7.97972798949331e-16,2.77555756156289e-17,2.42861286636753e-15,9.99200722162641e-16
111,-0.106854751022017,-0.33694226993796,-0.315600698161431,-0.202318105158737,NaN,9.17668718791731e-16,1.66533453693773e-16,2.4008572907519e-15,0
112,-0.109512720641119,-0.348337304992674,-0.325093028835077,-0.207590567978908,NaN,4.71844785465692e-16,0,4.53803661315533e-15,0
113,-0.111935756755924,-0.35943036247139,-0.33420372165471,-0.212697976368918,NaN,7.12971348626468e-16,1.36002320516582e-15,4.44089209850063e-16,8.88178419700125e-16
114,-0.114124755172486,-0.370232888716056,-0.342944259912951,-0.217651954179874,NaN,8.6389229103645e-16,1.49880108324396e-15,9.85322934354826e-16,0
115,-0.116080957676801,-0.380755895252436,-0.351325782342622,-0.222463197691838,NaN,4.66640615037761e-16,1.22124532708767e-15,5.27355936696949e-16,1.77635683940025e-15
116,-0.117805951777169,-0.391009992158679,-0.359359116919478,-0.227141585190853,NaN,5.759281940243e-16,1.16573417585641e-15,3.05311331771918e-16,2.44249065417534e-15
117,-0.119301673676112,-0.401005418619267,-0.367054809664984,-0.231696270490575,NaN,5.759281940243e-16,1.94289029309402e-15,4.91273688396632e-15,1.33226762955019e-15
118,-0.12057041403602,-0.41075207100479,-0.374423149028145,-0.23613576331445,NaN,9.36750677027476e-16,1.66533453693773e-16,1.94289029309402e-16,6.66133814775094e-16
119,-0.121614826075959,-0.420259528775825,-0.38147418635624,-0.240467998843476,NaN,1.31838984174237e-16,1.11022302462516e-16,2.63677968348475e-15,2.22044604925031e-15
120,-0.122437935501062,-0.429537078473748,-0.388217752908518,-0.24470039826822,NaN,2.63677968348475e-16,8.88178419700125e-16,5.49560397189452e-15,6.66133814775094e-16
121,-0.123043151721334,-0.438593736031538,-0.39466347382137,-0.248839921824277,-0.00282149928770314,9.85322934354826e-16,4.9960036108132e-16,2.77555756156289e-17,2.22044604925031e-15
122,-0.123434279764832,-0.44743826761255,-0.400820779395448,-0.252893115510799,-0.015519102398285,2.91433543964104e-16,1.55431223447522e-15,1.72084568816899e-15,6.66133814775094e-16
123,-0.123615532233246,-0.456079209164237,-0.406698914042909,-0.256866152472528,-0.0280592272787271,9.71445146547012e-17,2.22044604925031e-15,1.66533453693773e-16,2.22044604925031e-16
124,-0.123591540588659,-0.464524884856184,-0.412306943204774,-0.260764869852542,-0.0404394805896735,4.9960036108132e-16,1.4432899320127e-15,3.33066907387547e-16,1.33226762955019e-15
125,-0.123367365002695,-0.472783424557243,-0.417653758523278,-0.264594801785063,-0.0526580056791771,7.7715611723761e-16,1.88737914186277e-15,8.88178419700125e-16,1.77635683940025e-15
126,-0.122948501948065,-0.480862780494542,-0.422748081531182,-0.268361209087274,-0.064713423027914,5.82867087928207e-16,8.88178419700125e-16,5.05151476204446e-15,3.77475828372553e-15
127,-0.122340888673543,-0.488770743227496,-0.427598466098655,-0.272069106120082,-0.0766047764482051,1.66533453693773e-16,1.11022302462516e-15,6.80011602582908e-15,1.55431223447522e-15
128,-0.121550903683135,-0.496514957062364,-0.432213299858193,-0.2757232852157,-0.0883314845647056,8.88178419700125e-16,1.77635683940025e-15,3.88578058618805e-15,2.22044604925031e-15
129,-0.120585362345828,-0.504102935027242,-0.436600804808719,-0.279328339011209,-0.0998932971233962,6.66133814775094e-16,1.22124532708767e-15,6.80011602582908e-15,2.44249065417534e-15
130,-0.119451506800929,-0.511542073523602,-0.440769037281408,-0.282888680979316,-0.111290255699552,4.9960036108132e-16,2.22044604925031e-16,3.05311331771918e-16,1.11022302462516e-15
131,-0.118156989402367,-0.518839666768364,-0.444725887431777,-0.286408564408186,-0.122522658402204,6.93889390390723e-16,1.33226762955019e-15,1.13797860024079e-15,2.22044604925031e-15
132,-0.116709849068716,-0.526002921140176,-0.448479078405169,-0.289892100049914,-0.133591028200963,4.44089209850063e-16,2.99760216648792e-15,9.85322934354826e-16,6.66133814775094e-16
133,-0.115118480077384,-0.533038969544984,-0.45203616530594,-0.29334327263063,-0.144496084529719,2.77555756156289e-16,6.66133814775094e-16,2.09554595897998e-15,1.55431223447522e-15
134,-0.113391593061341,-0.539954885919219,-0.455404534084477,-0.296765956393381,-0.155238717849943,8.88178419700125e-16,1.33226762955019e-15,4.9960036108132e-16,1.77635683940025e-15
135,-0.111538168231125,-0.546757699994074,-0.458591400440745,-0.300163929827033,-0.16581996688347,0,1.11022302462516e-16,2.02615701994091e-15,0
136,-0.109567401145217,-0.553454412451719,-0.461603808828382,-0.303540889719836,-0.176240998250481,5.55111512312578e-16,1.11022302462516e-15,3.01147995429574e-15,6.66133814775094e-16
137,-0.107488641675,-0.560052010613926,-0.464448631629561,-0.306900464664551,-0.186503088272673,2.77555756156289e-16,2.33146835171283e-15,5.68989300120393e-16,1.55431223447522e-15
138,-0.105311327138948,-0.566557484815989,-0.467132568557968,-0.310246228132673,-0.196607606724123,3.33066907387547e-16,1.11022302462516e-16,2.85882428840978e-15,1.11022302462516e-15
139,-0.103044910893488,-0.572977845634271,-0.469662146335332,-0.313581711228094,-0.206556002333229,1.66533453693773e-16,1.11022302462516e-16,1.36002320516582e-15,0
140,-0.100698787942404,-0.579320142154827,-0.472043718676081,-0.316910415225215,-0.216349789858275,1.0547118733939e-15,1.11022302462516e-16,1.52655665885959e-16,1.55431223447522e-15
141,-0.098282219340573,-0.585591481493946,-0.474283466604833,-0.32023582399295,-0.22599053857663,4.44089209850063e-16,1.11022302462516e-16,3.70536934468646e-15,8.88178419700125e-16
